apprenant_id,profil_candidat,age,formation,mode_formation,duree_formation_jours,score_test_initial,taux_presence,score_tp,score_theorique,date_inscription,mois_inscription,annee_inscription
30,Etudiant,18,TIA Portal,Continue,5,57.72,92.35,,38.69,2021-02-22,2,2021
31,Employé,43,SolidWorks,Weekend,5,63.82,65.95,91.98,91.52,2021-01-14,1,2021
32,Etudiant,22,TIA Portal,Weekend,5,42.22,75.33,82.58,76.48,2024-04-05,4,2024
33,Etudiant,25,TIA Portal,Continue,5,32.79,62.76,50.9,66.28,2021-01-31,1,2021
34,Pris en charge par entreprise,38,SCADA,Weekend,5,22.28,80.98,71.36,65.13,2024-01-10,1,2024
35,Pris en charge par entreprise,42,SCADA,Weekend,5,49.31,83.88,91.42,50.54,2023-11-09,11,2023
36,Pris en charge par entreprise,28,Maintenance industrielle,1 fois par semaine,5,54.46,89.41,74.88,,2022-12-19,12,2022
37,Etudiant,23,TIA Portal,Weekend,5,73.82,73.58,81.98,67.99,2020-06-26,6,2020
38,Etudiant,25,TIA Portal,Continue,5,72.93,83.62,99.04,83.13,2025-02-24,2,2025
39,Employé,27,EPLAN,Continue,5,45.48,89.37,77.64,60.65,2021-05-26,5,2021
40,Etudiant,25,TIA Portal,Weekend,5,45.41,90.48,81.92,,2024-03-30,3,2024
41,Etudiant,30,TIA Portal,1 fois par semaine,5,29.67,72.07,67.62,68.72,2020-11-18,11,2020
42,Etudiant,20,SolidWorks,Continue,5,35.45,62.71,87.69,60.79,2023-04-15,4,2023
43,Etudiant,24,TIA Portal,Continue,5,75.54,61.5,71.82,82.67,2024-01-21,1,2024
44,Pris en charge par entreprise,31,SCADA,1 fois par semaine,5,28.46,90.72,84.59,52.79,2022-02-26,2,2022
45,Etudiant,24,TIA Portal,Weekend,5,78.12,75.42,85.19,69.17,2020-10-11,10,2020
46,Employé,31,EPLAN,Continue,5,50.28,65.36,51.64,52.37,2020-07-06,7,2020
47,Etudiant,27,TIA Portal,Weekend,5,47.4,67.38,94.2,69.13,2022-07-22,7,2022
48,Employé,29,SolidWorks,1/sem,5,30.48,90.65,52.03,41.84,2023-03-31,3,2023
49,Employé,23,SolidWorks,Weekend,5,59.69,83.96,87.98,61.81,2020-11-22,11,2020
50,Etudiant,29,TIA Portal,Weekend,5,47.59,80.06,79.76,46.41,2022-08-11,8,2022
51,Pris en charge par entreprise,40,SCADA,Continue,5,42.24,84.92,70.21,75.99,2021-02-17,2,2021
52,Employé,31,Maintenance industrielle,1 fois par semaine,5,35.87,65.5,75.69,64.96,2024-04-05,4,2024
53,Pris en charge par entreprise,19,SCADA,Continue,5,23.99,72.76,64.2,54.8,2023-02-12,2,2023
54,Pris en charge par entreprise,26,Maintenance industrielle,,5,51.16,74.96,66.51,44.06,2025-01-31,1,2025
55,Employé,27,SolidWorks,Weekend,5,38.77,72.58,84.5,93.48,2024-02-03,2,2024
56,Pris en charge par entreprise,43,SCADA,1 fois par semaine,5,62.47,94.58,93.65,88.93,2021-10-28,10,2021
57,Etudiant,18,TIA Portal,Weekend,5,63.41,83.26,86.03,89.53,2024-02-25,2,2024
58,Etudiant,18,TIA Portal,Continue,5,39.93,89.17,74.98,87.08,2023-12-26,12,2023
59,Etudiant,20,TIA Portal,Continue,5,60.15,69.47,80.95,81.87,2022-05-08,5,2022
60,Etudiant,31,TIA Portal,1 fois par semaine,5,35.52,70.56,91.52,74.87,2022-12-29,12,2022
61,Etudiant,32,TIA Portal,Weekend,5,63.63,69.01,76.13,97.36,2020-10-19,10,2020
62,Etudiant,20,TIA Portal,Weekend,5,20.96,87.52,66.97,82.0,2021-12-01,12,2021
63,Pris en charge par entreprise,18,Maintenance industrielle,1 fois par semaine,5,29.1,73.96,91.08,77.47,2025-12-27,12,2025
64,Etudiant,29,TIA Portal,Weekend,5,34.7,76.2,84.12,73.74,2022-09-29,9,2022
65,Etudiant,24,TIA Portal,Weekend,5,66.38,88.36,54.94,94.82,2021-10-31,10,2021
66,Employé,21,SolidWorks,Weekend,5,23.98,48.25,,73.16,2025-03-08,3,2025
67,Etudiant,27,TIA Portal,Continue,5,31.28,66.48,68.49,65.56,2024-04-03,4,2024
68,Pris en charge par entreprise,30,Maintenance industrielle,Continue,5,41.52,62.51,35.08,66.96,2023-01-10,1,2023
69,Etudiant,19,TIA Portal,Continue,5,20.55,67.79,86.11,67.79,2022-06-18,6,2022
70,Pris en charge par entreprise,27,SCADA,Weekend,5,65.73,89.4,80.74,47.26,2023-08-21,8,2023
71,Employé,38,Maintenance industrielle,Continue,5,53.61,67.79,75.9,55.68,2020-08-17,8,2020
72,Etudiant,23,TIA Portal,Weekend,5,74.04,83.37,85.36,91.82,2022-07-27,7,2022
73,Etudiant,26,TIA Portal,Weekend,5,21.86,83.61,79.22,95.79,2020-05-11,5,2020
74,Pris en charge par entreprise,21,Maintenance industrielle,1 fois par semaine,5,36.28,71.78,79.19,90.47,2023-07-16,7,2023
75,Employé,35,EPLAN,Weekend,5,63.88,62.75,78.06,55.91,2024-07-01,7,2024
76,Employé,22,EPLAN,,5,60.51,75.97,63.94,59.08,2023-01-01,1,2023
77,Employé,36,Maintenance industrielle,Continue,5,34.58,67.47,90.9,84.22,2020-09-28,9,2020
78,Etudiant,19,TIA Portal,Weekend,5,55.74,67.38,88.67,75.53,2022-05-14,5,2022
79,Etudiant,29,TIA Portal,Continue,5,67.63,80.9,71.44,91.48,2023-07-12,7,2023
80,Etudiant,18,TIA Portal,Weekend,5,22.0,86.92,,72.9,2022-05-20,5,2022
81,Pris en charge par entreprise,27,Maintenance industrielle,1 fois par semaine,5,63.06,63.02,77.75,,2025-08-06,8,2025
82,Employé,19,SolidWorks,Weekend,5,35.13,83.13,64.68,71.09,2024-06-08,6,2024
83,Etudiant,23,TIA Portal,Weekend,5,76.87,69.85,70.18,99.46,2025-02-22,2,2025
84,Etudiant,25,TIA Portal,1 fois par semaine,5,52.29,86.93,72.32,32.08,2021-08-08,8,2021
85,Etudiant,30,TIA Portal,Continue,5,22.0,92.41,,91.92,2022-12-20,12,2022
86,Etudiant,20,TIA Portal,1 fois par semaine,5,44.21,92.28,79.89,84.79,2021-07-25,7,2021
87,Employé,28,EPLAN,1 fois par semaine,5,77.98,74.79,50.95,51.55,2022-10-07,10,2022
88,Employé,48,EPLAN,Weekend,5,63.82,51.28,70.06,86.75,2022-12-12,12,2022
89,Pris en charge par entreprise,42,Maintenance industrielle,Weekend,5,38.03,,89.84,53.9,2024-10-20,10,2024
90,Etudiant,32,SolidWorks,1 fois par semaine,5,54.52,62.43,74.23,91.1,2024-06-23,6,2024
91,Etudiant,29,TIA Portal,Continue,5,55.95,84.22,78.58,94.03,2024-01-22,1,2024
92,Employé,26,EPLAN,1 fois par semaine,5,21.4,93.46,56.02,92.09,2022-06-17,6,2022
93,Employé,19,Maintenance industrielle,Continue,5,30.73,74.89,83.81,92.36,2021-07-20,7,2021
94,Employé,25,SolidWorks,,5,53.11,78.22,80.45,66.35,2025-09-18,9,2025
95,Employé,43,Maintenance industrielle,1 fois par semaine,5,44.17,87.95,92.22,62.4,2025-07-14,7,2025
96,Etudiant,28,SolidWorks,Continue,5,31.4,62.72,64.95,81.54,2021-01-07,1,2021
97,Employé,45,SolidWorks,1 fois par semaine,5,66.36,75.43,84.44,91.82,2020-07-11,7,2020
98,Etudiant,22,TIA Portal,Weekend,5,49.34,71.83,72.17,92.93,2021-03-25,3,2021
99,Etudiant,21,TIA Portal,1 fois par semaine,5,38.6,60.68,90.85,67.23,2021-09-18,9,2021
100,Etudiant,27,TIA Portal,Weekend,5,29.7,,78.55,74.9,2021-10-17,10,2021
101,Etudiant,22,TIA Portal,Continue,5,56.67,75.84,75.66,99.4,2024-09-25,9,2024
102,Employé,37,EPLAN,Continue,5,59.98,67.9,78.92,82.3,2020-09-17,9,2020
103,Etudiant,25,TIA Portal,Weekend,5,60.18,84.1,99.18,78.2,2024-04-25,4,2024
104,Employé,21,SolidWorks,1 fois par semaine,5,33.22,77.95,86.08,69.55,2024-04-12,4,2024
105,Pris en charge par entreprise,46,SCADA,Weekend,5,55.72,61.58,89.13,58.13,2025-04-01,4,2025
106,Etudiant,27,TIA Portal,Weekend,5,74.32,71.0,98.17,72.66,2025-12-07,12,2025
107,Etudiant,29,TIA Portal,Continue,5,41.19,60.78,,91.47,2022-10-26,10,2022
108,Employé,46,Maintenance industrielle,Weekend,5,32.65,74.33,67.72,,2020-02-17,2,2020
109,Etudiant,31,TIA Portal,1 fois par semaine,5,66.33,43.73,80.56,90.98,2021-04-14,4,2021
110,Etudiant,23,TIA Portal,Weekend,5,30.61,87.53,72.99,67.05,2022-12-28,12,2022
111,Etudiant,19,TIA Portal,Continue,5,35.22,72.3,75.5,81.6,2023-10-25,10,2023
112,Etudiant,22,TIA Portal,1 fois par semaine,5,26.04,75.01,70.88,77.42,2021-04-01,4,2021
113,Pris en charge par entreprise,39,SCADA,Continue,5,36.07,89.01,68.0,52.58,2023-04-17,4,2023
114,Pris en charge par entreprise,38,Maintenance industrielle,continu,5,44.62,79.24,76.25,89.8,2024-11-15,11,2024
115,Employé,29,EPLAN,Weekend,5,23.85,82.26,56.83,76.9,2021-10-09,10,2021
116,Pris en charge par entreprise,35,Maintenance industrielle,Continue,5,72.3,93.65,79.91,68.87,2025-02-01,2,2025
117,Pris en charge par entreprise,47,Maintenance industrielle,Continue,5,50.82,68.28,81.55,68.48,2020-01-14,1,2020
118,Etudiant,24,TIA Portal,1 fois par semaine,5,55.29,99.57,82.66,65.26,2022-12-14,12,2022
119,Pris en charge par entreprise,37,Maintenance industrielle,,5,42.28,96.0,81.13,79.76,2025-08-12,8,2025
120,Employé,41,SolidWorks,continu,5,60.19,71.46,51.73,33.29,2022-01-01,1,2022
121,Pris en charge par entreprise,40,Maintenance industrielle,Weekend,5,45.91,95.72,46.64,68.93,2025-09-10,9,2025
122,Pris en charge par entreprise,24,Maintenance industrielle,Weekend,5,65.68,90.16,72.59,90.95,2021-03-11,3,2021
123,Etudiant,26,TIA Portal,Continue,5,69.28,97.23,90.1,85.37,2023-05-07,5,2023
124,Etudiant,18,TIA Portal,Continue,5,60.31,87.65,92.92,48.29,2025-09-10,9,2025
125,Etudiant,27,TIA Portal,Weekend,5,49.48,86.98,80.99,81.63,2022-03-25,3,2022
126,Etudiant,23,TIA Portal,1 fois par semaine,5,66.94,60.14,78.51,98.83,2021-09-18,9,2021
127,Pris en charge par entreprise,23,Maintenance industrielle,1 fois par semaine,5,49.66,78.98,53.35,53.75,2024-03-11,3,2024
128,Pris en charge par entreprise,39,Maintenance industrielle,1 fois par semaine,5,26.69,,88.83,71.63,2021-10-23,10,2021
129,Etudiant,30,TIA Portal,1 fois par semaine,5,26.98,72.96,67.41,84.24,2025-12-12,12,2025
130,Employé,29,SolidWorks,Weekend,5,76.91,99.15,68.77,89.5,2020-01-03,1,2020
131,Etudiant,23,TIA Portal,Continue,5,32.81,63.42,72.14,93.93,2023-08-20,8,2023
132,Etudiant,29,TIA Portal,1 fois par semaine,5,68.96,88.9,84.52,66.91,2025-06-24,6,2025
133,Etudiant,27,TIA Portal,Weekend,5,34.8,66.92,99.01,82.94,2020-03-20,3,2020
134,Etudiant,24,TIA Portal,Continue,5,45.85,60.3,75.18,81.43,2021-04-03,4,2021
135,Pris en charge par entreprise,47,SCADA,1 fois par semaine,5,59.3,80.06,88.6,63.72,2024-01-26,1,2024
136,Etudiant,27,TIA Portal,Continue,5,29.53,66.45,71.74,69.52,2023-06-13,6,2023
137,Employé,23,SolidWorks,1 fois par semaine,5,64.23,98.62,63.4,85.1,2022-09-07,9,2022
138,Employé,34,EPLAN,Continue,5,61.39,68.15,71.22,60.24,2020-08-25,8,2020
139,Etudiant,20,TIA Portal,1 fois par semaine,5,52.58,67.68,70.82,76.65,2022-09-13,9,2022
140,Pris en charge par entreprise,35,SCADA,1 fois par semaine,5,53.95,,92.3,65.44,2020-11-18,11,2020
141,Pris en charge par entreprise,23,SCADA,Continue,5,26.35,73.19,94.47,71.84,2020-12-16,12,2020
142,Etudiant,25,TIA Portal,,5,46.16,60.96,71.27,96.19,2025-06-13,6,2025
143,Etudiant,20,SolidWorks,Continue,5,25.19,79.96,70.72,81.94,2020-10-10,10,2020
144,Etudiant,27,TIA Portal,Weekend,5,38.47,48.04,99.43,66.76,2025-12-21,12,2025
145,Etudiant,25,TIA Portal,Weekend,5,74.02,62.13,68.38,90.22,2021-05-30,5,2021
146,Etudiant,25,TIA Portal,Continue,5,54.47,69.6,36.89,71.45,2021-06-09,6,2021
147,Employé,38,SolidWorks,Weekend,5,64.56,93.28,51.77,50.98,2025-04-30,4,2025
148,Employé,41,SolidWorks,1 fois par semaine,5,54.43,78.5,84.85,56.05,2021-11-07,11,2021
149,Etudiant,23,TIA Portal,Continue,5,31.65,77.38,81.37,86.21,2022-12-21,12,2022
150,Etudiant,22,TIA Portal,Weekend,5,55.69,87.95,79.99,65.95,2025-12-01,12,2025
151,Pris en charge par entreprise,42,SCADA,Continue,5,65.32,,85.26,50.47,2024-09-29,9,2024
152,Etudiant,31,TIA Portal,1 fois par semaine,5,28.3,90.48,91.67,96.27,2022-05-17,5,2022
153,Etudiant,24,TIA Portal,1 fois par semaine,5,69.01,93.22,80.15,83.74,2022-04-03,4,2022
154,Etudiant,25,SolidWorks,Weekend,5,53.32,69.29,71.46,67.51,2023-06-30,6,2023
155,Pris en charge par entreprise,18,SCADA,1 fois par semaine,5,20.26,62.66,89.93,90.23,2024-06-22,6,2024
156,Etudiant,28,TIA Portal,Continue,5,51.19,75.21,76.75,86.53,2024-03-09,3,2024
157,Employé,35,EPLAN,Weekend,5,43.74,94.2,91.71,93.29,2024-11-29,11,2024
158,Employé,41,Maintenance industrielle,Continue,5,37.79,63.12,32.83,70.38,2025-10-20,10,2025
159,Etudiant,29,TIA Portal,Continue,5,66.28,83.04,51.56,98.56,2025-01-23,1,2025
160,Employé,42,EPLAN,Continue,5,73.97,88.04,56.43,76.09,2021-05-10,5,2021
161,Etudiant,21,TIA Portal,1 fois par semaine,5,65.76,79.26,74.89,74.77,2022-10-12,10,2022
162,Employé,49,EPLAN,Continue,5,70.81,42.29,68.22,94.95,2022-07-09,7,2022
163,Employé,29,EPLAN,1 fois par semaine,5,74.53,73.05,52.47,76.03,2020-09-19,9,2020
164,Employé,33,SolidWorks,Continue,5,74.76,62.87,53.72,56.95,2023-10-16,10,2023
165,Etudiant,27,TIA Portal,1 fois par semaine,5,26.88,71.7,80.38,82.87,2020-03-27,3,2020
166,Pris en charge par entreprise,44,Maintenance industrielle,1 fois par semaine,5,47.38,61.78,61.65,36.07,2022-07-31,7,2022
167,Etudiant,27,TIA Portal,1 fois par semaine,5,20.02,89.05,68.04,75.61,2022-06-21,6,2022
168,Etudiant,31,TIA Portal,Continue,5,50.39,95.92,98.83,98.06,2020-01-30,1,2020
169,Etudiant,26,TIA Portal,Continue,5,75.45,85.34,,84.98,2020-10-17,10,2020
170,Employé,37,SolidWorks,1 fois par semaine,5,31.95,86.27,90.93,50.28,2020-08-29,8,2020
171,Employé,27,EPLAN,Continue,5,58.39,78.89,86.48,92.68,2022-07-26,7,2022
172,Etudiant,27,TIA Portal,1 fois par semaine,5,58.66,66.24,54.87,70.65,2020-10-03,10,2020
173,Employé,43,SolidWorks,Continue,5,29.62,60.31,93.23,48.13,2020-05-08,5,2020
174,Etudiant,26,TIA Portal,1 fois par semaine,5,34.31,73.76,65.5,,2023-09-15,9,2023
175,Employé,28,EPLAN,1 fois par semaine,5,47.72,90.06,70.25,,2020-10-17,10,2020
176,Etudiant,24,TIA Portal,Weekend,5,31.29,98.42,90.66,99.84,2025-10-06,10,2025
177,Employé,19,EPLAN,Continue,5,55.1,77.24,62.94,74.22,2022-09-01,9,2022
178,Etudiant,26,TIA Portal,Continue,5,49.07,74.62,83.67,79.2,2023-02-14,2,2023
179,Pris en charge par entreprise,37,SCADA,Weekend,5,51.15,77.84,57.61,93.99,2025-06-11,6,2025
180,Etudiant,25,TIA Portal,,5,28.07,77.11,,82.44,2022-05-27,5,2022
181,Etudiant,31,TIA Portal,1 fois par semaine,5,51.04,85.04,86.11,72.95,2021-06-25,6,2021
182,Etudiant,24,TIA Portal,Weekend,5,22.97,89.37,84.03,89.32,2025-04-20,4,2025
183,Pris en charge par entreprise,46,SCADA,Weekend,5,72.89,91.4,73.18,94.56,2022-09-22,9,2022
184,Pris en charge par entreprise,48,Maintenance industrielle,1 fois par semaine,5,40.59,85.98,77.51,66.69,2025-04-21,4,2025
185,Etudiant,24,TIA Portal,Continue,5,71.38,77.51,92.03,70.97,2024-07-25,7,2024
186,Employé,25,EPLAN,Weekend,5,62.1,98.0,67.3,65.61,2022-02-18,2,2022
187,Pris en charge par entreprise,18,Maintenance industrielle,Weekend,5,65.97,88.44,49.13,85.18,2021-01-21,1,2021
188,Employé,38,SolidWorks,Weekend,5,38.87,77.07,71.79,85.73,2021-02-01,2,2021
189,Employé,19,SolidWorks,Weekend,5,33.66,77.86,75.94,65.39,2024-10-31,10,2024
190,Etudiant,19,TIA Portal,Weekend,5,44.4,92.72,93.35,73.34,2023-12-22,12,2023
191,Etudiant,32,TIA Portal,Weekend,5,21.45,77.62,72.85,30.49,2024-09-30,9,2024
192,Pris en charge par entreprise,18,Maintenance industrielle,1 fois par semaine,5,75.13,80.65,61.74,50.41,2024-08-10,8,2024
193,Pris en charge par entreprise,22,SCADA,1 fois par semaine,5,43.22,71.66,42.64,73.0,2025-03-27,3,2025
194,Employé,19,EPLAN,Weekend,5,79.31,93.56,70.05,93.51,2020-08-09,8,2020
195,Etudiant,21,TIA Portal,week-end,5,65.69,,84.99,95.22,2021-02-07,2,2021
196,Etudiant,20,TIA Portal,Continue,5,24.83,82.1,69.88,84.92,2020-09-05,9,2020
197,Employé,36,EPLAN,Continue,5,59.61,95.23,54.12,76.24,2024-07-07,7,2024
198,Pris en charge par entreprise,35,Maintenance industrielle,Weekend,5,36.25,96.82,82.31,66.74,2023-10-21,10,2023
199,Pris en charge par entreprise,46,Maintenance industrielle,Continue,5,34.62,92.97,54.16,70.61,2021-03-23,3,2021
200,Employé,39,Maintenance industrielle,Continue,5,35.39,62.61,,89.02,2022-10-15,10,2022
201,Employé,35,EPLAN,1 fois par semaine,5,74.96,77.74,60.98,93.5,2022-02-23,2,2022
202,Etudiant,31,TIA Portal,1 fois par semaine,5,50.0,73.73,98.53,73.67,2022-02-18,2,2022
203,Etudiant,31,TIA Portal,1 fois par semaine,5,60.17,68.54,77.18,96.34,2025-01-11,1,2025
204,Pris en charge par entreprise,41,Maintenance industrielle,1 fois par semaine,5,36.86,96.36,93.5,69.95,2021-07-28,7,2021
205,Employé,25,SolidWorks,Continue,5,51.38,95.6,64.44,73.67,2024-09-24,9,2024
206,Etudiant,30,TIA Portal,Weekend,5,41.01,78.61,45.75,74.57,2022-01-21,1,2022
207,Etudiant,31,TIA Portal,1 fois par semaine,5,39.27,65.38,90.78,66.81,2023-02-14,2,2023
208,Employé,29,EPLAN,,5,34.82,60.53,52.22,67.38,2025-03-09,3,2025
209,Etudiant,22,TIA Portal,1 fois par semaine,5,44.54,77.54,77.37,76.05,2022-10-20,10,2022
210,Etudiant,27,TIA Portal,Continue,5,59.6,61.6,82.19,76.23,2020-11-04,11,2020
211,Employé,40,SolidWorks,1 fois par semaine,5,33.32,84.38,58.65,63.93,2024-12-20,12,2024
212,Employé,37,EPLAN,Weekend,5,77.93,84.34,93.87,68.5,2021-02-05,2,2021
213,Employé,34,EPLAN,1 fois par semaine,5,27.48,95.96,70.01,75.94,2020-07-26,7,2020
214,Etudiant,28,TIA Portal,Weekend,5,48.81,67.6,99.42,73.46,2020-03-01,3,2020
215,Employé,19,EPLAN,1 fois par semaine,5,25.1,74.86,80.66,82.22,2021-01-17,1,2021
216,Etudiant,27,TIA Portal,1 fois par semaine,5,21.36,94.38,86.26,68.1,2022-08-26,8,2022
217,Etudiant,27,TIA Portal,1 fois par semaine,5,75.36,78.97,88.69,67.24,2021-11-12,11,2021
218,Employé,21,EPLAN,Continue,5,68.62,62.39,76.83,83.28,2024-07-22,7,2024
219,Employé,18,EPLAN,Continue,5,61.65,64.43,59.49,87.87,2025-06-12,6,2025
220,Pris en charge par entreprise,32,Maintenance industrielle,Weekend,5,71.91,92.54,51.37,87.97,2025-05-25,5,2025
221,Employé,30,EPLAN,Weekend,5,68.17,89.75,70.71,59.79,2022-05-25,5,2022
222,Employé,25,SolidWorks,Continue,5,58.83,95.04,56.02,92.9,2024-06-30,6,2024
223,Etudiant,26,TIA Portal,Weekend,5,70.84,64.75,67.54,71.97,2020-08-28,8,2020
224,Etudiant,21,TIA Portal,Weekend,5,43.45,90.42,40.1,86.71,2021-11-05,11,2021
225,Etudiant,27,TIA Portal,Continue,5,53.17,86.2,84.07,69.4,2024-04-01,4,2024
226,Etudiant,20,TIA Portal,Continue,5,66.58,69.29,75.14,51.65,2020-01-09,1,2020
227,Pris en charge par entreprise,35,SCADA,Continue,5,25.09,98.96,59.61,68.5,2024-05-18,5,2024
228,Etudiant,22,TIA Portal,Continue,5,71.52,82.81,,72.61,2022-12-22,12,2022
229,Pris en charge par entreprise,47,Maintenance industrielle,1 fois par semaine,5,29.41,,,67.59,2025-02-06,2,2025
230,Employé,36,EPLAN,Continue,5,71.87,94.36,93.94,92.96,2023-03-14,3,2023
231,Employé,43,Maintenance industrielle,Weekend,5,38.68,73.33,86.01,60.87,2024-09-28,9,2024
232,Employé,40,SolidWorks,1 fois par semaine,5,39.61,81.44,53.06,64.26,2025-06-16,6,2025
233,Employé,44,SolidWorks,1 fois par semaine,5,24.44,77.25,62.01,72.77,2021-09-26,9,2021
234,Etudiant,23,SolidWorks,Weekend,5,73.15,88.36,85.0,88.62,2022-02-16,2,2022
235,Etudiant,18,TIA Portal,1 fois par semaine,5,30.47,83.52,94.57,77.59,2023-04-30,4,2023
236,Employé,29,EPLAN,Weekend,5,57.8,91.39,32.36,64.08,2022-06-10,6,2022
237,Etudiant,25,TIA Portal,1 fois par semaine,5,58.64,60.47,67.13,89.55,2020-08-27,8,2020
238,Etudiant,19,TIA Portal,1 fois par semaine,5,36.87,,65.34,79.32,2020-09-06,9,2020
239,Employé,38,EPLAN,Weekend,5,79.14,72.76,64.82,81.2,2023-07-08,7,2023
240,Etudiant,26,TIA Portal,Weekend,5,23.85,68.97,91.82,75.64,2020-08-22,8,2020
241,Pris en charge par entreprise,25,SCADA,Weekend,5,56.47,58.0,,63.23,2020-07-24,7,2020
242,Pris en charge par entreprise,35,SCADA,Weekend,5,48.77,63.57,48.14,82.72,2025-05-06,5,2025
243,Pris en charge par entreprise,42,SCADA,Continue,5,34.73,69.14,81.18,94.43,2025-08-21,8,2025
244,Etudiant,22,TIA Portal,Continue,5,29.81,68.15,41.67,88.18,2025-12-15,12,2025
245,Etudiant,27,TIA Portal,Weekend,5,64.23,76.79,86.34,97.03,2021-10-06,10,2021
246,Pris en charge par entreprise,47,SCADA,Continue,5,74.98,72.89,57.04,83.83,2020-08-20,8,2020
247,Etudiant,23,TIA Portal,Weekend,5,26.45,88.82,46.84,74.61,2025-09-11,9,2025
248,Pris en charge par entreprise,30,SCADA,Weekend,5,31.64,87.97,71.35,65.02,2020-11-24,11,2020
249,Pris en charge par entreprise,36,SCADA,1 fois par semaine,5,79.18,73.02,,90.01,2022-01-31,1,2022
250,Pris en charge par entreprise,46,Maintenance industrielle,Weekend,5,20.9,77.48,75.62,78.43,2020-10-07,10,2020
251,Etudiant,20,TIA Portal,Weekend,5,50.5,68.32,83.16,66.79,2020-10-05,10,2020
252,Etudiant,27,TIA Portal,Weekend,5,50.97,86.83,73.15,,2022-08-21,8,2022
253,Pris en charge par entreprise,25,Maintenance industrielle,Weekend,5,35.79,75.85,63.96,58.18,2024-07-11,7,2024
254,Etudiant,28,TIA Portal,1 fois par semaine,5,59.78,65.31,82.64,76.3,2021-05-06,5,2021
255,Etudiant,27,TIA Portal,Weekend,5,76.7,65.09,74.03,81.24,2022-10-05,10,2022
256,Employé,43,SolidWorks,1 fois par semaine,5,47.01,72.89,56.0,91.75,2020-06-11,6,2020
257,Pris en charge par entreprise,48,SCADA,Weekend,5,64.97,89.89,89.05,81.84,2020-12-01,12,2020
258,Employé,29,EPLAN,continu,5,58.76,61.02,54.78,84.91,2024-09-13,9,2024
259,Employé,19,SolidWorks,Continue,5,48.38,70.31,86.36,84.55,2025-11-11,11,2025
260,Etudiant,28,TIA Portal,1 fois par semaine,5,22.99,66.5,68.99,87.54,2023-07-19,7,2023
